Matrix_Size_N,Trial_Number,NW_Time_Seconds,BH_Time_Seconds
10,57,1.4299992471933365e-05,0.00022220006212592125
10,58,1.4499993994832039e-05,0.00021520000882446766
10,59,1.4200108125805855e-05,0.0002679000608623028
10,60,1.4299992471933365e-05,0.00021610013209283352
10,61,1.4699995517730713e-05,0.00022400007583200932
10,62,1.4499993994832039e-05,0.00022739986889064312
10,63,1.500011421740055e-05,0.000224800081923604
10,64,1.4499993994832039e-05,0.0002251998521387577
10,65,1.4999881386756897e-05,0.00022749998606741428
10,66,1.4499993994832039e-05,0.0002221998292952776
10,67,0.00021039997227489948,0.00033660000190138817
10,68,1.600012183189392e-05,0.0003068000078201294
10,69,1.850002445280552e-05,0.00046909996308386326
10,70,2.2499822080135345e-05,0.0002669999375939369
10,71,1.7700018361210823e-05,0.00023710005916655064
10,72,1.610000617802143e-05,0.00024429988116025925
10,73,1.4599878340959549e-05,0.0002302001230418682
10,74,2.050003968179226e-05,0.0003124999348074198
10,75,1.6700010746717453e-05,0.00024279998615384102
10,76,1.650000922381878e-05,0.0004343001637607813
10,77,4.0599843487143517e-05,0.00033139996230602264
10,78,1.750001683831215e-05,0.0002508999314159155
10,79,1.640012487769127e-05,0.0002592999953776598
10,80,2.3799948394298553e-05,0.00026890006847679615
10,81,1.600012183189392e-05,0.00024880003184080124
10,82,4.509999416768551e-05,0.000627799890935421
10,83,3.879982978105545e-05,0.0005787999834865332
10,84,3.7700170651078224e-05,0.0005741999484598637
10,85,3.6800047382712364e-05,0.0007704999297857285
10,86,1.9700033590197563e-05,0.0002544000744819641
10,87,1.650000922381878e-05,0.00025320006534457207
10,88,1.650000922381878e-05,0.0003921000752598047
10,89,1.8399907276034355e-05,0.00026919995434582233
10,90,1.6700010746717453e-05,0.000246700132265687
10,91,1.4999881386756897e-05,0.0002462000120431185
10,92,1.5300000086426735e-05,0.00024250010028481483
10,93,1.550000160932541e-05,0.00023870007134974003
10,94,1.5300000086426735e-05,0.00023770006373524666
10,95,1.550000160932541e-05,0.00024279998615384102
10,96,1.5700003132224083e-05,0.00023719994351267815
10,97,1.5399884432554245e-05,0.00023090001195669174
10,98,1.54001172631979e-05,0.00023400015197694302
10,99,1.4600111171603203e-05,0.00023530004546046257
10,100,1.4599878340959549e-05,0.00023770006373524666
40,1,0.00022609997540712357,0.011054199887439609
40,2,0.00030349986627697945,0.012935600010678172
40,3,0.00012819981202483177,0.010872900020331144
40,4,0.000157299917191267,0.011956099886447191
40,5,0.00012690015137195587,0.011199200060218573
40,6,0.00013990001752972603,0.020274000009521842
40,7,0.00029009999707341194,0.010731999995186925
40,8,0.00012320000678300858,0.010601400164887309
40,9,0.0001254999078810215,0.009778799954801798
40,10,0.00014839996583759785,0.008718600030988455
40,11,0.00012809992767870426,0.01212410000152886
40,12,0.00027439999394118786,0.013523300178349018
40,13,0.00022680009715259075,0.013079900061711669
40,14,0.00014660018496215343,0.00807340000756085
40,15,0.0001309998333454132,0.00853120000101626
40,16,0.00013189995661377907,0.010188000043854117
40,17,0.00012819981202483177,0.010820000199601054
40,18,0.00012669991701841354,0.009067000122740865
40,19,0.00013289996422827244,0.010065399808809161
40,20,0.00013319985009729862,0.009599799988791347
40,21,0.0002283998765051365,0.008945999899879098
40,22,0.00013439985923469067,0.008131799986585975
40,23,0.00012179999612271786,0.00898739998228848
40,24,0.0002957999240607023,0.009124699980020523
40,25,0.00013519986532628536,0.00799040007404983
40,26,0.00012269988656044006,0.009149499936029315
40,27,0.00013189995661377907,0.009251500014215708
40,28,0.0003478999715298414,0.01011970010586083
40,29,0.00012980005703866482,0.008837500121444464
40,30,0.00012480001896619797,0.008820299990475178
40,31,0.00012700003571808338,0.007872399874031544
40,32,0.00013810000382363796,0.008861900074407458
